t,f,w,r
3400,-108.32,-0.00034556,
3401,-108.88,-0.00026834,
3402,-109.38,-0.00020537,
3403,-109.71,-9.31E-05,
3404,-109.71,-2.50E-09,
3405,-109.17,0.00024271,
3406,-107.89,0.0013687,
3407,-105.71,0.0039116,
3408,-102.54,0.0079598,
3409,-98.422,0.012894,
3410,-93.498,0.017535,
3411,-87.993,0.020619,
3412,-82.185,0.02144,
3413,-76.352,0.020087,
3414,-70.731,0.017287,
3415,-65.484,0.013943,
3416,-60.683,0.010815,
3417,-56.319,0.0082939,
3418,-52.326,0.0064532,
3419,-48.62,0.0051637,
3420,-45.138,0.004232,
3421,-41.879,0.0034409,
3422,-38.917,0.002639,
3423,-36.403,0.0017792,
3424,-34.535,0.00093265,
3425,-33.513,0.00027053,
3426,-33.488,1.65E-07,
3427,-34.497,-0.00027156,
3428,-36.42,-0.0010423,
3429,-38.957,-0.001938,
3430,-41.614,-0.0022722,
3431,-43.741,-0.0015309,
3432,-44.577,-0.00024075,
3433,-43.308,0.00053905,
3434,-39.134,0.0052736,
3435,-31.322,0.014783,
3436,-19.249,0.021696,
3437,-2.4205,0.0053013,
3438,19.533,0.072806,
3439,46.876,0.27102,
3440,79.779,0.66794,
3441,118.34,1.361,
3442,162.59,2.462,
3443,212.46,4.0855,
3444,267.72,6.3239,
3445,327.97,9.2071,
3446,392.51,12.643,
3447,460.3,16.361,
3448,529.96,19.886,
3449,599.72,22.573,
3450,667.54,23.74,23.74
3451,731.14,22.877,
3452,788.24,19.873,
3453,836.66,15.166,
3454,874.52,9.698,
3455,900.46,4.6833,
3456,913.66,1.2317,
3457,914,0.00079921,
3458,901.97,-1.0082,
3459,878.67,-3.6891,
3460,845.61,-7.1475,
3461,804.58,-10.478,
3462,757.44,-13.017,
3463,705.98,-14.455,
3464,651.79,-14.804,-14.8
3465,596.14,-14.279,
3466,539.99,-13.164,
3467,484.03,-11.72,
3468,428.74,-10.137,
3469,374.46,-8.5312,
3470,321.54,-6.9661,
3471,270.34,-5.4802,
3472,221.34,-4.1093,
3473,175.1,-2.8952,
3474,132.22,-1.8801,
3475,93.281,-1.094,
3476,58.747,-0.54184,
3477,28.909,-0.19905,
3478,3.825,-0.018612,
3479,-16.695,-0.054367,
3480,-33.064,-0.068516,
3481,-45.863,-0.058094,
3482,-55.752,-0.042164,
3483,-63.384,-0.028553,
3484,-69.32,-0.01889,
3485,-73.968,-0.012359,
3486,-77.562,-0.0077464,
3487,-80.169,-0.0042162,
3488,-81.739,-0.0015577,
3489,-82.163,-0.00011412,
3490,-81.348,0.00041779,
3491,-79.279,0.0026255,
3492,-76.053,0.0061178,
3493,-71.891,0.009632,
3494,-67.108,0.011873,
3495,-62.069,0.012187,
3496,-57.125,0.0108,
3497,-52.549,0.0085093,
3498,-48.494,0.0061678,
3499,-44.976,0.0043046,
3500,-41.885,0.0030956,
